date_str,Pedidos,Ventas totales,fecha,pedidos,ventas,diff_ped,diff_ventas
2025-10-20,2,64450.0,2025-10-20,1,14000.0,-1,-50450.0
2025-10-21,4,474700.0,2025-10-21,5,978700.0,1,504000.0
2025-10-27,3,34900.0,2025-10-27,2,152500.0,-1,117600.0
2025-11-03,3,611600.0,2025-11-03,2,107600.0,-1,-504000.0
2025-11-05,1,19670.0,2025-11-05,2,52900.0,1,33230.0
2025-11-06,5,437890.0,2025-11-06,4,309890.0,-1,-128000.0
2025-11-10,3,184090.0,2025-11-10,5,318090.0,2,134000.0
2025-11-11,5,585000.0,2025-11-11,4,905000.0,-1,320000.0
2025-11-12,1,104570.0,2025-11-12,2,189570.0,1,85000.0
2025-11-13,2,153210.0,2025-11-13,1,68210.0,-1,-85000.0
2025-11-14,2,45030.0,2025-11-14,1,11800.0,-1,-33230.0
2025-11-17,2,515480.0,2025-11-17,3,682560.0,1,167080.0
2025-11-18,4,723980.0,2025-11-18,2,102900.0,-2,-621080.0
2025-11-19,2,48120.0,2025-11-19,1,24600.0,-1,-23520.0
2025-11-28,0,0.0,2025-11-28,1,31900.0,1,31900.0
2025-12-03,2,97564.0,2025-12-03,2,356944.0,0,259380.0
2025-12-04,3,624260.0,2025-12-04,2,332980.0,-1,-291280.0
2025-12-09,2,62680.0,2025-12-09,4,531930.0,2,469250.0
2025-12-10,2,121700.0,2025-12-10,3,167900.0,1,46200.0
2025-12-11,5,619890.0,2025-12-11,2,104440.0,-3,-515450.0
2025-12-19,0,0.0,2025-12-19,1,382500.0,1,382500.0
